filename,subject_id,date_tested,Duration,cohort,exclude,first_blackout
00270001_LUNA_2024_07_07_H19M54S08_07.01.2024-07.07.2024_07.07.2024-NA,00270001,2024-07-07,300.03,ego_single,yes,NA
00270001_LUNA_2024_07_07_H19M59S08_07.01.2024-07.07.2024_07.07.2024-NA,00270001,2024-07-07,300,ego_single,yes,NA
00270001_LUNA_2024_07_07_H20M04S08_07.01.2024-07.07.2024_07.07.2024-NA,00270001,2024-07-07,299.93,ego_single,yes,NA
00270001_LUNA_2024_07_07_H20M09S08_07.01.2024-07.07.2024_07.07.2024-NA,00270001,2024-07-07,300.03,ego_single,yes,NA
00270001_LUNA_2024_07_07_H20M14S08_07.01.2024-07.07.2024_07.07.2024-NA,00270001,2024-07-07,299.97,ego_single,yes,NA
00270001_LUNA_2024_07_07_H20M14S38_07.01.2024-07.07.2024_07.07.2024-NA,00270001,2024-07-07,30.72,ego_single,yes,NA
00270001_LUNA_2024_07_08_H19M39S04_07.08.2024-07.14.2024_07.08.2024-NA,00270001,2024-07-08,300,ego_single,yes,NA
00270001_LUNA_2024_07_08_H19M44S04_07.08.2024-07.14.2024_07.08.2024-NA,00270001,2024-07-08,300,ego_single,yes,NA
00320001_GX020029_08.26.2024-09.01.2024_08.31.2024-3:02pm,00320001,2024-08-31,837.87,ongoing,yes,TRUE
00320003_GX030099_08.12.2024-08.18.2024_08.18.2024-7:37am,00320003,2024-08-18,804.14,ongoing,yes,TRUE
00370002_GX010076_08.12.2024-08.18.2024_08.17.2024-NA,00370002,2024-08-17,960.98,ongoing,yes,TRUE
00370002_GX020047_06.10.2024-06.16.2024_06.15.2024-9:25am,00370002,2024-06-15,768.79,ongoing,Yes,TRUE
00400002_GX010071_07.01.2024-07.07.2024_07.07.2024-9:37am,00400002,2024-07-07,960.98,ongoing,yes,TRUE
00400002_GX020071_06.24.2024-06.30.2024_06.30.2024-NA,00400002,2024-06-30,896.92,ongoing,yes,TRUE
00400002_GX030062_05.13.2024-05.19.2024_05.19.2024-12:00pm,00400002,2024-05-19,832.85,ongoing,yes,TRUE
00400003_GX030052_06.10.2024-06.16.2024_06.13.2024-8:20am,00400003,2024-06-13,361.37,ongoing,yes,TRUE
00400003_GX030061_08.05.2024-08.11.2024_08.08.2024-6:57am,00400003,2024-08-08,361.66,ongoing,yes,TRUE
00420001_GX010116_09.16.2024-09.22.2024_09.22.2024-7:27pm,00420001,2024-09-22,289.96,ongoing,yes,TRUE
00420001_GX030099_08.05.2024-08.11.2024_08.11.2024-6:50pm,00420001,2024-08-11,361.34,ongoing,yes,TRUE
00490001_GX010025_05.20.2024-05.26.2024_05.22.2024-9:26am,00490001,2024-05-22,960.98,ongoing,yes,TRUE
00490001_GX020025_05.20.2024-05.26.2024_05.22.2024-9:26am,00490001,2024-05-22,841.91,ongoing,yes,TRUE
00500001_GX010039_09.09.2024-09.15.2024_09.15.2024-3:25pm,00500001,2024-09-15,704.73,ongoing,parent requests that we double check the video for possible nudity,TRUE
00500001_GX020039_09.09.2024-09.15.2024_09.15.2024-3:25pm,00500001,2024-09-15,262.64,ongoing,parent requests that we double check the video for possible nudity,TRUE
00590001_GX020042_09.23.2024-09.29.2024_09.24.2024-NA,00590001,2024-09-24,460.89,ongoing,"""at around 6:06 minutes the toddler's diaper fell off and for a brief moment his genital was filmed. Please ensure to edit it out. Thanks!""",NA
00820001_GX010082_04.29.2024-05.05.2024_05.03.2024-6:28pm,00820001,2024-05-03,704.73,ongoing,yes,TRUE
