filename,subject_id,video_id,duration,num_lang,cohort,video_name,age_in_months,date_tested
00220001_GX010001_02.05.2024-02.11.2024_02.05.2024-5:19pm,00220001,GX010001,704.73,1,release_1,00220001_GX010001_02.05.2024-02.11.2024_02.05.2024-5:19pm,5.21594684385382,2024-02-05
00220001_GX010002_02.05.2024-02.11.2024_02.05.2024-NA,00220001,GX010002,4.31,1,release_1,00220001_GX010002_02.05.2024-02.11.2024_02.05.2024-NA,5.21594684385382,2024-02-05
00220001_GX010003_02.05.2024-02.11.2024_02.05.2024-1:47pm,00220001,GX010003,704.73,1,release_1,00220001_GX010003_02.05.2024-02.11.2024_02.05.2024-1:47pm,5.21594684385382,2024-02-05
00220001_GX010004_02.05.2024-02.11.2024_02.06.2024-2:41,00220001,GX010004,704.73,1,release_1,00220001_GX010004_02.05.2024-02.11.2024_02.06.2024-2:41,5.249169435215947,2024-02-06
00220001_GX010005_02.19.2024-02.25.2024_02.19.2024-NA,00220001,GX010005,129.54,1,release_1,00220001_GX010005_02.19.2024-02.25.2024_02.19.2024-NA,5.681063122923588,2024-02-19
00220001_GX010006_02.19.2024-02.25.2024_02.24.2024-NA,00220001,GX010006,704.73,1,release_1,00220001_GX010006_02.19.2024-02.25.2024_02.24.2024-NA,5.847176079734219,2024-02-24
00220001_GX010008_02.26.2024-03.03.2024_02.28.2024-11:30am,00220001,GX010008,704.73,1,release_1,00220001_GX010008_02.26.2024-03.03.2024_02.28.2024-11:30am,5.980066445182724,2024-02-28
00220001_GX010011_03.04.2024-03.10.2024_03.06.2024-1:59pm,00220001,GX010011,704.73,1,release_1,00220001_GX010011_03.04.2024-03.10.2024_03.06.2024-1:59pm,6.212624584717608,2024-03-06
00220001_GX010011_03.11.2024-03.17.2024_03.12.2024-5:52pm,00220001,GX010011,570.43,1,release_1,00220001_GX010011_03.11.2024-03.17.2024_03.12.2024-5:52pm,6.411960132890365,2024-03-12
00220001_GX010013_03.18.2024-03.24.2024_03.19.2024-2:50pm,00220001,GX010013,704.73,1,release_1,00220001_GX010013_03.18.2024-03.24.2024_03.19.2024-2:50pm,6.644518272425249,2024-03-19
00220001_GX010014_03.18.2024-03.24.2024_03.23.2024-3:52pm,00220001,GX010014,704.73,1,release_1,00220001_GX010014_03.18.2024-03.24.2024_03.23.2024-3:52pm,6.777408637873754,2024-03-23
00220001_GX010015_03.25.2024-03.31.2024_03.30.2024-12:51pm,00220001,GX010015,704.73,1,release_1,00220001_GX010015_03.25.2024-03.31.2024_03.30.2024-12:51pm,7.009966777408637,2024-03-30
00220001_GX010016_04.01.2024-04.07.2024_04.06.2024-12:07pm,00220001,GX010016,704.73,1,release_1,00220001_GX010016_04.01.2024-04.07.2024_04.06.2024-12:07pm,7.2425249169435215,2024-04-06
00220001_GX010017_04.01.2024-04.07.2024_04.06.2024-12:07pm,00220001,GX010017,704.73,1,release_1,00220001_GX010017_04.01.2024-04.07.2024_04.06.2024-12:07pm,7.2425249169435215,2024-04-06
00220001_GX010018_04.08.2024-04.14.2024_04.10.2024-5:04pm,00220001,GX010018,141.57,1,release_1,00220001_GX010018_04.08.2024-04.14.2024_04.10.2024-5:04pm,7.3754152823920265,2024-04-10
00220001_GX010023_04.15.2024-04.21.2024_04.16.2024-4:29pm,00220001,GX010023,704.73,1,release_1,00220001_GX010023_04.15.2024-04.21.2024_04.16.2024-4:29pm,7.574750830564784,2024-04-16
00220001_GX010024_04.22.2024-04.28.2024_04.24.2024-12:03pm,00220001,GX010024,607.42,1,release_1,00220001_GX010024_04.22.2024-04.28.2024_04.24.2024-12:03pm,7.840531561461794,2024-04-24
00220001_GX010026_04.29.2024-05.05.2024_04.29.2024-6:24pm,00220001,GX010026,704.73,1,release_1,00220001_GX010026_04.29.2024-05.05.2024_04.29.2024-6:24pm,8.006644518272426,2024-04-29
00220001_GX010027_05.06.2024-05.12.2024_05.08.2024-5:51pm,00220001,GX010027,704.73,1,ongoing,00220001_GX010027_05.06.2024-05.12.2024_05.08.2024-5:51pm,8.305647840531561,2024-05-08
00220001_GX010028_05.13.2024-05.19.2024_05.17.2024-5:29pm,00220001,GX010028,704.73,1,ongoing,00220001_GX010028_05.13.2024-05.19.2024_05.17.2024-5:29pm,NA,NA
00220001_GX010030_05.13.2024-05.19.2024_05.18.2024-1:49pm,00220001,GX010030,704.73,1,ongoing,00220001_GX010030_05.13.2024-05.19.2024_05.18.2024-1:49pm,8.637873754152823,2024-05-18
00220001_GX010031_05.20.2024-05.26.2024_05.26.2024-12:38pm,00220001,GX010031,704.73,1,ongoing,00220001_GX010031_05.20.2024-05.26.2024_05.26.2024-12:38pm,8.903654485049833,2024-05-26
00220001_GX010032_05.27.2024-06.02.2024_05.31.2024-12:46pm,00220001,GX010032,704.73,1,ongoing,00220001_GX010032_05.27.2024-06.02.2024_05.31.2024-12:46pm,9.069767441860465,2024-05-31
